ŻUREK,6781
PIĄTKOWSKI,6774
GÓRNY,6704
BANAŚ,6694
GÓRKA,6690
ZAWADA,6689
NIEMIEC,6663
MATYSIAK,6657
KARCZEWSKI,6656
PODGÓRSKI,6656
ŻURAWSKI,6646
SOWIŃSKI,6616
CZYŻ,6607
GOŁĘBIOWSKI,6602
KLIMCZAK,6582
ROSIŃSKI,6546
BIENIEK,6533
KUŚ,6495
GRUSZKA,6463
GODLEWSKI,6462
AUGUSTYNIAK,6453
KRAWIEC,6420
SKRZYPCZAK,6412
DROZD,6408
GROCHOWSKI,6403
PANEK,6358
PTAK,6355
PRZYBYŁA,6353
GIL,6293
KOMOROWSKI,6290
RÓŻAŃSKI,6251
WINIARSKI,6246
KONOPKA,6224
SIWEK,6188
CYBULSKI,6177
SŁOWIK,6165
KULIK,6139
LEŚNIEWSKI,6130
GRZYB,6124
KŁOS,6094
KRZYŻANOWSKI,6088
SZCZEPANIK,6074
CICHOŃ,6060
ZARZYCKI,6033
GRACZYK,6027
MIELCZAREK,6008
TOKARSKI,6001
KACZYŃSKI,5999
ZAREMBA,5992
MIKOŁAJCZAK,5956
MŁYNARCZYK,5939
STAŃCZYK,5932
CICHOCKI,5918
SZYMCZYK,5895
BUCZEK,5892
SZOSTAK,5890
STRZELECKI,5888
WĘGRZYN,5883
BIERNAT,5871
JUREK,5849
MAĆKOWIAK,5819
SZCZYGIEŁ,5819
SKOWRON,5815
BARTKOWIAK,5794
JANUS,5789
GĄSIOR,5788
BOGUSZ,5777
FILIPIAK,5746
CIEŚLA,5734
GAWRON,5726
JANIAK,5715
KALETA,5702
NIEWIADOMSKI,5699
KULA,5667
PAŁKA,5658
RZEPKA,5658
KUCHARCZYK,5657
KUBIK,5654
KOSTRZEWA,5650
RAKOWSKI,5629
KSIĄŻEK,5626
BAGIŃSKI,5611
GAWLIK,5608
SIENKIEWICZ,5592
RÓŻYCKI,5549
BARTCZAK,5511
FRĄCZEK,5501
MALEC,5498
ANTCZAK,5485
ZARĘBA,5478
BANASIAK,5447
TRZCIŃSKI,5437
KRÓLIKOWSKI,5422
ŻEBROWSKI,5409
DŁUGOSZ,5382
ROGALSKI,5374
HAJDUK,5366
MIKULSKI,5340
ROGALA,5337
LACH,5288
ROJEK,5280
TKACZYK,5275
BOREK,5269
GRZEGORCZYK,5267
KISIEL,5267
TROJANOWSKI,5266
GAWROŃSKI,5242
WITCZAK,5233
STEC,5228
DOBOSZ,5214
MALISZEWSKI,5199
WĄSIK,5198
WOLNY,5191
RYBICKI,5183
RADOMSKI,5155
ŚLUSARCZYK,5154
MIKA,5109
BIAŁAS,5063
GAŁĄZKA,5060
KMIECIK,5054
ZABOROWSKI,5048
KACZOROWSKI,5046
PAWELEC,5026
WALKOWIAK,5025
GRZESIAK,5014
BOGUCKI,4991
SOKÓŁ,4991
LIPSKI,4985
WNUK,4984
FRĄCKOWIAK,4982
FRANKOWSKI,4979
BOCHENEK,4950
CICHY,4939
ZYGMUNT,4929
KWAŚNIEWSKI,4922
KARWOWSKI,4916
WÓJCICKI,4901
ŻMUDA,4891
NAWROT,4887
WIĘCKOWSKI,4884
JANAS,4847
DUDZIŃSKI,4844
JUSZCZAK,4840
PIETRAS,4823
GAWEŁ,4802
MROCZEK,4782
LASOTA,4776
ROSIAK,4776
ŁAPIŃSKI,4762
SKRZYPEK,4762
KOŁODZIEJSKI,4761
WOJTCZAK,4761
PASTERNAK,4758
MISIAK,4745
JĘDRZEJCZYK,4743
WROŃSKI,4740
BURZYŃSKI,4738
FIJAŁKOWSKI,4724
KRYSIAK,4719
BUJAK,4716
KARAŚ,4710
PIÓRKOWSKI,4709
DĄBEK,4700
GRUSZCZYŃSKI,4700
CZYŻEWSKI,4690
KUBACKI,4674
PIWOWARCZYK,4674
GUTOWSKI,4658
MASŁOWSKI,4643
BOROWIEC,4626
SZAFRAŃSKI,4626
ZAJĄCZKOWSKI,4610
KAŁUŻNY,4608
SOŁTYS,4605
JAGODZIŃSKI,4603
STELMACH,4601
ŁUKASZEWSKI,4596
TARNOWSKI,4586
ŁUKASIEWICZ,4582
CEBULA,4575
ZIELONKA,4573
JAGIEŁŁO,4571
KAŁUŻA,4569
LISIECKI,4558
WOŹNY,4553
BIELAWSKI,4551
CYGAN,4545
KRAKOWIAK,4536
PILARSKI,4529
JURKIEWICZ,4523
PAKUŁA,4518
SKIBIŃSKI,4509
DRZEWIECKI,4502
WILCZEK,4496
SKOCZYLAS,4495
SZCZEŚNIAK,4491
FALKOWSKI,4484
JĘDRZEJCZAK,4481
FILIPEK,4480
BOBER,4478
KĘDZIORA,4453
JAKUBIAK,4446
SOBIERAJ,4446
GĄSIOROWSKI,4443
DĘBOWSKI,4432
STRZELCZYK,4422
TWARDOWSKI,4420
FLIS,4410
RACZYŃSKI,4387
KUBICA,4376
WASIAK,4368
MIERZEJEWSKI,4360
STANEK,4360
GOŁĄB,4358
GUZIK,4341
BARTOSIK,4340
GÓRNIAK,4338
WIĘCEK,4328
GÓRAL,4324
WOLAK,4307
MAJCHER,4303
KULIG,4302
MATUSZAK,4272
BILSKI,4255
GRZYWACZ,4255
CHOLEWA,4254
MOTYKA,4254
DROZDOWSKI,4252
SZWED,4252
RUSIN,4246
NOWACZYK,4237
CZAPLA,4235
KOPCZYŃSKI,4209
STOLARCZYK,4203
URBAŃCZYK,4200
BURY,4198
KRUPIŃSKI,4198
FLOREK,4194
WOJTAS,4181
PACZKOWSKI,4179
DZIUBA,4166
KASZUBA,4165
PYTEL,4165
JAŚKIEWICZ,4164
MICHAŁEK,4157
MISZTAL,4154
PROKOP,4148
GWÓŹDŹ,4147
RUCIŃSKI,4142
DUBIEL,4130
KUC,4130
BIELAK,4114
MALICKI,4112
ZAGÓRSKI,4104
BIAŁY,4102
JANKOWIAK,4102
CISZEWSKI,4099
ANDRZEJCZAK,4097
KUCHTA,4083
STASZEWSKI,4081
KĘPA,4075
PARTYKA,4070
BOŻEK,4069
SŁOWIŃSKI,4066
SIEDLECKI,4064
MODZELEWSKI,4062
KACZMARSKI,4061
ŚWIERCZYŃSKI,4059
SKÓRA,4056
PŁONKA,4053
BIEŃKOWSKI,4049
JANUSZ,4048
GAŁKA,4043
ZWOLIŃSKI,4042
SIERADZKI,4024
KAPUSTA,4023
SOCHACKI,4017
MILCZAREK,4012
STACHURA,3994
JEZIERSKI,3992
JURKOWSKI,3989
PAWLIKOWSKI,3984
SZYSZKA,3983
SŁAWIŃSKI,3976
SZCZERBA,3963
STĘPNIAK,3961
SITEK,3956
WOŚ,3933
IWAŃSKI,3926
JACKOWSKI,3924
OLCZAK,3919
ROSA,3917
CHMURA,3916
KOLASA,3913
LIPKA,3913
KNAPIK,3903
MAŚLANKA,3902
DEC,3892
MAJKA,3891
MAŃKOWSKI,3891
DUDZIK,3889
MROCZKOWSKI,3887
KWIECIŃSKI,3886
BRODA,3885
SKALSKI,3875
NOGA,3853
KOZA,3847
SZATKOWSKI,3844
SALAMON,3823
KITA,3820
TRZECIAK,3820
FLORCZAK,3809
MOLENDA,3800
TOKARZ,3798
KOGUT,3796
KOWALCZUK,3796
MROZEK,3796
STANISŁAWSKI,3796
CHOJNOWSKI,3795
WYSZYŃSKI,3794
KIEŁBASA,3788
WŁODARSKI,3788
DUDZIAK,3783
PASZKOWSKI,3773
PUCHALSKI,3773
DOBRZYŃSKI,3771
